City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
114,Shimoda,JP,34.6667,138.95,73.11,87,2,7.56,clear sky
115,Faanui,PF,-16.4833,-151.75,77.77,65,3,12.41,clear sky
116,San Lorenzo,PY,-25.3333,-57.5333,86.94,37,0,11.5,clear sky
117,Avera,US,33.194,-82.5271,86.92,55,97,3.0,overcast clouds
118,Saskylakh,RU,71.9167,114.0833,56.25,74,59,9.06,broken clouds
119,Coruripe,BR,-10.1256,-36.1756,77.5,73,31,13.6,scattered clouds
120,Isangel,VU,-19.55,169.2667,75.16,87,68,8.14,broken clouds
121,Corum,TR,40.5,34.75,71.65,45,98,12.71,overcast clouds
122,Vanavara,RU,60.34,102.2797,66.22,67,28,4.38,scattered clouds
123,Odweyne,SO,9.4092,45.064,73.22,40,98,23.96,overcast clouds
124,Kaitangata,NZ,-46.2817,169.8464,47.93,62,100,3.67,moderate rain
125,Zhigansk,RU,66.7697,123.3711,58.87,61,51,5.66,broken clouds
126,Ahipara,NZ,-35.1667,173.1667,57.18,94,93,7.9,overcast clouds
127,Kutum,SD,14.2,24.6667,80.42,53,96,7.74,overcast clouds
128,Carutapera,BR,-1.195,-46.02,88.23,49,67,5.84,broken clouds
129,Bluefields,NI,12.0137,-83.7635,80.82,83,100,6.04,overcast clouds
130,Sangar,RU,63.9242,127.4739,58.6,67,8,4.97,clear sky
131,Sovetskiy,RU,61.3614,63.5842,54.01,61,29,6.76,scattered clouds
132,Dunedin,NZ,-45.8742,170.5036,49.8,66,100,8.99,light rain
133,Meulaboh,ID,4.1363,96.1285,79.27,84,97,2.24,overcast clouds
134,Hermanus,ZA,-34.4187,19.2345,60.8,56,100,5.08,overcast clouds
135,Barrow,US,71.2906,-156.7887,41.02,93,90,10.36,overcast clouds
136,Shelburne,CA,44.0787,-80.2041,80.76,51,6,9.75,clear sky
137,Airai,TL,-8.9266,125.4092,55.35,59,34,3.18,scattered clouds
138,Vestmanna,FO,62.1564,-7.1664,52.72,100,90,6.91,mist
139,Yuxia,CN,34.0615,108.6291,80.37,68,3,7.83,light rain
140,Chuy,UY,-33.6971,-53.4616,65.43,83,89,10.65,light rain
141,Cape Town,ZA,-33.9258,18.4232,64.09,65,100,1.01,overcast clouds
142,Mahajanga,MG,-15.7167,46.3167,78.82,50,40,3.44,scattered clouds
143,Cherskiy,RU,68.75,161.3,39.16,81,9,7.78,clear sky
144,Tecoanapa,MX,16.5167,-98.75,84.83,69,100,4.92,overcast clouds
145,Mount Isa,AU,-20.7333,139.5,53.37,37,4,5.75,clear sky
146,Kodiak,US,57.79,-152.4072,51.31,87,40,0.0,scattered clouds
147,Chepareria,KE,1.3077,35.2039,62.8,83,96,1.21,light rain
148,Sambava,MG,-14.2667,50.1667,69.82,81,92,16.02,overcast clouds
149,Aswan,EG,24.0934,32.907,99.84,12,0,11.45,clear sky
150,Kavieng,PG,-2.5744,150.7967,81.07,77,59,3.09,broken clouds
151,Flinders,AU,-34.5833,150.8552,54.37,62,77,20.0,broken clouds
152,Clyde River,CA,70.4692,-68.5914,34.14,96,100,5.3,overcast clouds
153,Ribeira Grande,PT,38.5167,-28.7,73.8,78,40,8.05,scattered clouds
154,Chokurdakh,RU,70.6333,147.9167,32.97,86,1,10.18,clear sky
155,Ixtapa,MX,20.7,-105.2,87.22,62,1,2.3,clear sky
156,Choix,MX,26.7092,-108.3219,87.48,57,45,1.3,scattered clouds
157,Severo-Kurilsk,RU,50.6789,156.125,53.49,98,84,3.29,broken clouds
158,Kulhudhuffushi,MV,6.6221,73.07,80.47,82,100,23.0,overcast clouds
159,Aklavik,CA,68.2191,-135.0107,54.88,73,91,20.69,overcast clouds
160,Esperance,AU,-33.8667,121.9,55.29,80,0,19.44,clear sky
161,Xinyu,CN,27.8043,114.9334,78.76,80,55,2.53,broken clouds
162,Nanortalik,GL,60.1432,-45.2371,45.21,75,100,12.48,overcast clouds
163,Bardiyah,LY,31.7561,25.0865,79.66,54,0,16.28,clear sky
164,Axim,GH,4.8699,-2.2405,79.3,67,54,11.18,broken clouds
165,Bati,ET,11.1833,40.0167,65.35,82,100,5.1,moderate rain
166,Taltal,CL,-25.4,-70.4833,62.28,61,2,4.27,clear sky
167,Ucluelet,CA,48.9329,-125.5528,68.09,89,0,1.99,clear sky
168,Macon,US,39.8667,-88.9668,85.75,78,40,5.75,scattered clouds
169,Upernavik,GL,72.7868,-56.1549,41.79,81,55,8.79,broken clouds
170,Outlook,CA,51.5001,-107.0513,73.83,34,57,7.0,broken clouds
171,Itarema,BR,-2.9248,-39.9167,89.58,42,43,16.49,scattered clouds
172,Kerema,PG,-7.9631,145.7785,76.84,91,94,10.38,overcast clouds
173,Mersing,MY,2.4312,103.8405,79.56,83,35,6.62,scattered clouds
174,Ubaitaba,BR,-14.3125,-39.3233,73.04,76,54,6.24,broken clouds
175,Panalingaan,PH,8.7842,117.4231,80.64,84,100,2.8,overcast clouds
176,Ponta Delgada,PT,37.7333,-25.6667,75.92,69,40,13.8,scattered clouds
177,Lubuagan,PH,17.3548,121.1747,69.67,89,100,4.88,overcast clouds
178,Moose Factory,CA,51.2585,-80.6094,65.05,57,60,5.41,broken clouds
179,Riyadh,SA,24.6877,46.7219,105.94,9,10,10.8,clear sky
180,Bowen,AU,-20.0167,148.2333,59.47,69,4,6.44,clear sky
181,Mar Del Plata,AR,-38.0023,-57.5575,61.09,49,76,4.0,broken clouds
182,Vihti,FI,60.417,24.3197,79.74,45,87,7.0,overcast clouds
183,Cranbrook,CA,49.4999,-115.7688,76.08,30,0,3.29,clear sky
184,Sicamous,CA,50.8331,-118.9856,70.2,63,6,2.28,clear sky
185,Erdenet,MN,49.0333,104.0833,54.52,84,95,4.59,overcast clouds
186,Necochea,AR,-38.5473,-58.7368,52.03,84,100,15.77,overcast clouds
187,Cedar City,US,37.6775,-113.0619,77.4,50,1,4.61,clear sky
188,Biak,ID,-0.9131,122.8766,75.31,83,75,6.67,broken clouds
189,Monaragala,LK,6.8714,81.3487,77.86,80,83,6.62,broken clouds
190,Beloretsk,RU,53.9631,58.3981,67.01,64,43,4.97,scattered clouds
191,Along,IN,28.1667,94.7667,77.61,99,100,0.89,overcast clouds
192,Yaypan,UZ,40.3758,70.8156,96.84,11,0,5.23,clear sky
193,Chara,RU,56.9064,118.2631,59.54,74,51,6.55,broken clouds
194,Hamilton,US,39.1834,-84.5333,88.09,75,1,1.01,clear sky
195,Tessalit,ML,20.1986,1.0114,105.39,17,56,6.15,broken clouds
196,Luderitz,NA,-26.6481,15.1594,69.13,27,63,3.58,broken clouds
197,Vila,PT,42.0304,-8.1588,67.08,78,52,10.58,broken clouds
198,Port Elizabeth,ZA,-33.918,25.5701,58.1,48,28,3.36,scattered clouds
199,Waingapu,ID,-9.6567,120.2641,72.41,71,67,4.81,broken clouds
200,Dalmau,IN,26.0667,81.0333,88.03,68,99,7.49,overcast clouds
201,Namibe,AO,-15.1961,12.1522,72.84,53,0,6.49,clear sky
