City_ID,City,Country,Max Temp,Current_Description,Lat,Lng,Hotel Name
512,Grand Island,US,71.55,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
516,Oppdal,NO,73.06,broken clouds,62.5943,9.6912,Quality Hotel Skifer
517,Poum,NC,72.28,clear sky,-20.2333,164.0167,Gîte kajeon
518,Storforshei,NO,73.18,few clouds,66.4043,14.5233,Skogly overnatting (Stengt/closed)
521,Hualmay,PE,66.43,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
522,Kaeo,NZ,60.33,moderate rain,-35.1,173.7833,Bushido Lodge
523,Kirakira,SB,77.99,broken clouds,-10.4544,161.9205,SanBiz Lodge
524,Teahupoo,PF,64.36,clear sky,-17.8333,-149.2667,Vanira Lodge
525,Atkarsk,RU,68.0,broken clouds,51.8718,45.0078,Hotel Kareta
527,Fairhaven,US,72.0,overcast clouds,41.6376,-70.9036,Fairfield Inn & Suites by Marriott New Bedford
531,Hobyo,SO,77.74,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
534,Kuybysheve,UA,77.74,clear sky,47.358,36.6491,PitStop СЕРВИС
535,Saint-Joseph,RE,68.36,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
539,Vyazemskiy,RU,74.3,overcast clouds,47.5378,134.7525,Dom Otdykha Dlya Rabotnikov Rzhd
542,San Vicente,AR,79.56,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
546,Ulfborg,DK,77.47,broken clouds,56.2673,8.3217,Hedens Bed And Breakfast
548,Kapoeta,SS,72.81,overcast clouds,4.7717,33.5903,Eastgate Hotel
549,Zaysan,KZ,75.83,clear sky,47.4667,84.8667,Ерлан үй
550,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
551,Takoradi,GH,79.54,broken clouds,4.8845,-1.7554,Raybow International Hotel
552,Half Moon Bay,US,72.05,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
557,Barraute,CA,71.19,clear sky,48.4335,-77.6328,Auberge La Fille d'à côté
558,Northam,GB,75.2,overcast clouds,51.0333,-4.2167,Durrant House Hotel
560,Klyuchi,RU,75.9,scattered clouds,52.2667,79.1667,Vesolaya Mayovka
562,Dingle,PH,77.02,light rain,10.9995,122.6711,SEGAYA PROPERTY
563,Sudbury,CA,76.41,broken clouds,46.49,-80.99,Travelway Inn Sudbury
564,Khasan,RU,73.96,broken clouds,42.4308,130.6434,
565,Zonguldak,TR,72.05,scattered clouds,41.25,31.8333,Süleyman Tez Ev
570,Shiraoi,JP,73.58,scattered clouds,42.55,141.35,Pirika Rera Hotel
571,Noumea,NC,70.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
572,Przhevalskoye,RU,74.19,few clouds,55.5093,31.8482,Next Camp
573,Marevo,RU,71.85,scattered clouds,57.3146,32.0804,"Ivushka, Gostinitsa"
576,Shaunavon,CA,77.88,clear sky,49.6501,-108.4181,Bear's Den Lodge
577,Chapais,CA,64.18,broken clouds,49.7834,-74.8492,Hôtel Opémiska
578,Shostka,UA,68.43,broken clouds,51.863,33.4698,Premiere Hotel
579,Volchikha,RU,73.74,few clouds,52.0333,80.3833,Gostinitsa
582,Nemuro,JP,61.32,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
585,Sinop,TR,73.83,clear sky,41.7711,34.8709,
586,Pueblo Nuevo,MX,68.29,overcast clouds,23.3833,-105.3833,
589,Chase,CA,74.37,few clouds,50.8165,-119.6857,Chase Country Inn Motel
590,Atambua,ID,66.99,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
591,Labuhan,ID,74.64,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
592,Bermeo,ES,75.85,overcast clouds,43.4209,-2.7215,Eco-Hotel Mundaka
593,Birin,NP,66.24,light rain,26.8865,88.0718,Sangam hotel and lodge
594,Cao Bang,VN,76.59,overcast clouds,22.6667,106.25,khách sạn 88
597,Lasa,IT,69.03,light rain,46.6166,10.7002,Pension Feldgärtenhof
598,Haradok,BY,78.91,few clouds,55.4624,29.9816,"Gostinitsa ""Sportivnyy Gorodok"""
604,Chumikan,RU,63.01,scattered clouds,54.7183,135.315,Fortuna
606,Yelizavetino,RU,70.36,scattered clouds,59.4916,29.7938,Palace Yelizavetino
607,Bogorodskoye,RU,71.78,overcast clouds,56.55,37.8833,Sosnoviy Bor
610,Saiha,IN,72.66,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
613,Kailua,US,78.78,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
614,Vila Velha,BR,76.96,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
617,Neiafu,TO,74.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
619,La Union,PE,76.19,few clouds,-5.4,-80.75,Los Portales
621,Kedrovyy,RU,64.81,scattered clouds,56.1667,91.8167,
623,Altagracia De Orituco,VE,77.76,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
625,Kathmandu,NP,70.02,moderate rain,27.7167,85.3167,Hotel Shanker Kathmandu
628,Marawi,PH,72.64,scattered clouds,7.9986,124.2928,Derogongan Residence
630,Shitanjing,CN,77.94,overcast clouds,39.2342,106.3439,
633,San Luis Obispo,US,70.29,overcast clouds,35.3666,-120.5343,John Cabrinha (Ranch)
634,Muyezerskiy,RU,67.01,light rain,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
635,Asosa,ET,60.13,light rain,10.0667,34.5333,Blendana Hotel Assosa
644,San Quintin,MX,68.81,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
645,Nenjiang,CN,67.84,overcast clouds,49.1833,125.2167,Nenjiang Apartment
647,Praia Da Vitoria,PT,71.85,broken clouds,38.7333,-27.0667,Hotel Branco I
649,Nabire,ID,75.9,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
652,Bassano,CA,72.95,clear sky,50.7834,-112.4685,Imperial Hunter Hotel
653,Miranda De Ebro,ES,78.39,overcast clouds,42.6865,-2.947,Hospedería El Convento
654,Aleksandrovsk-Sakhalinskiy,RU,71.24,overcast clouds,50.8975,142.1561,"The hotel ""Three Brothers"""
655,Fomboni,KM,76.82,clear sky,-12.28,43.7425,Pension Paradis
656,Huancabamba,PE,71.42,scattered clouds,-5.2386,-79.4506,Hospedaje El Dorado
657,Bereda,ES,75.42,broken clouds,43.2686,-7.5406,Pazo de Verdes
658,Saint-Andre-Avellin,CA,76.87,overcast clouds,45.7168,-75.066,Auberge Petite-Nation
666,Krasnyy Oktyabr,RU,72.28,broken clouds,56.1167,38.8833,Priozernaya Hotel
667,Odesskoye,RU,67.87,light rain,54.2111,72.9651,
668,Inhambane,MZ,64.17,light rain,-23.865,35.3833,Oceano
669,Guerande,FR,74.77,few clouds,47.3291,-2.4283,Best Western Hôtel de la Cité
671,Kukuna,SL,78.06,moderate rain,9.4,-12.6667,
672,Vendome,FR,71.64,broken clouds,47.8,1.0667,Hotel Mercator
673,Saint-Michel-Des-Saints,CA,73.94,broken clouds,46.6834,-73.9159,Motel Du Mont trinity
677,Camacha,PT,74.16,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
