City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Palu,ID,-0.8917,119.8707,77.67,94,76,1.14
93,Bluff,NZ,-46.6,168.3333,46.8,82,92,12.17
94,Karaton,ID,-6.3424,106.1045,77.16,91,91,2.06
95,Ojinaga,MX,29.5667,-104.4167,77.95,50,1,0.0
96,Derbent,RU,42.0678,48.2899,80.64,70,89,12.01
97,Dekar,BW,-21.5333,21.9333,63.41,11,0,8.93
98,Begoro,GH,6.3871,-0.3774,78.3,65,95,5.14
99,Lahan,NP,26.7296,86.4951,88.03,73,68,12.41
100,Saint George,US,37.1041,-113.5841,75.63,83,1,4.0
101,Inverell,AU,-29.7833,151.1167,46.67,100,96,1.01
102,Portlethen,GB,57.0547,-2.1307,77.77,80,75,3.0
103,Abashiri,JP,44.0213,144.2697,68.56,87,91,9.73
104,Kahului,US,20.8947,-156.47,75.85,87,20,17.27
105,Leh,IN,34.1667,77.5833,73.62,28,70,6.46
106,Campos,BR,-21.75,-41.3,71.65,68,0,0.0
107,Ajaccio,FR,42.0,8.9167,91.56,65,0,13.8
108,Mahebourg,MU,-20.4081,57.7,75.49,60,75,12.66
109,Richards Bay,ZA,-28.783,32.0377,62.53,50,29,20.29
110,Kontagora,NG,10.3999,5.4695,79.02,72,100,7.96
111,Vostok,RU,46.4856,135.8833,72.0,83,44,4.25
112,Kawalu,ID,-7.3817,108.2082,72.03,98,74,2.48
113,Progreso,MX,21.2833,-89.6667,78.91,93,28,5.59
114,Atuona,PF,-9.8,-139.0333,76.64,77,60,10.22
115,Russell,US,32.3502,-85.1999,76.28,94,1,0.0
116,Barrow,US,71.2906,-156.7887,35.62,93,90,12.66
117,Katsuura,JP,35.1333,140.3,78.26,85,30,7.49
118,Saskylakh,RU,71.9167,114.0833,64.24,70,98,1.32
119,Castro,BR,-24.7911,-50.0119,52.47,64,0,3.89
120,Kaitangata,NZ,-46.2817,169.8464,44.92,80,37,5.64
121,Peniche,PT,39.3558,-9.3811,80.74,81,96,8.34
122,Balkanabat,TM,39.5108,54.3671,107.87,9,0,5.95
123,Niteroi,BR,-22.8833,-43.1036,66.38,72,2,3.38
124,Cubatao,BR,-23.895,-46.4253,70.45,77,0,2.3
125,Katherine,AU,-14.4667,132.2667,68.32,56,9,3.44
126,Egvekinot,RU,66.3167,-179.1667,40.33,96,58,4.81
127,Ulaanbaatar,MN,47.9077,106.8832,71.73,53,40,4.47
128,Jamestown,US,42.097,-79.2353,65.79,82,1,1.7
129,Sanlucar De Barrameda,ES,36.7781,-6.3515,94.21,54,0,10.36
130,Marzuq,YE,14.4,46.4667,90.18,36,29,18.52
131,Abu Samrah,SY,35.3029,37.1841,97.25,28,0,13.31
132,Mandera,KE,3.9366,41.867,93.29,29,43,25.86
133,Oktyabrskoye,RU,43.0645,44.7417,77.14,61,75,6.71
134,Hwange,ZW,-18.3693,26.5019,79.29,12,100,4.32
135,Simbahan,PH,6.3032,120.5836,83.7,81,91,9.98
136,Saint-Augustin,CA,51.226,-58.6502,48.27,89,100,16.35
137,Chara,RU,56.9064,118.2631,63.18,81,93,6.64
138,Sorland,NO,67.667,12.6934,51.87,88,100,12.95
139,Tasiilaq,GL,65.6145,-37.6368,39.61,97,100,1.32
140,Verkhniye Tatyshly,RU,56.2912,55.8575,70.3,55,100,5.03
141,Dingle,PH,10.9995,122.6711,79.25,76,100,10.63
142,Yerbogachen,RU,61.2767,108.0108,70.59,52,31,4.74
143,Oranjestad,AW,12.524,-70.027,82.35,83,20,19.57
144,Asau,RO,46.4333,26.4,76.28,49,48,4.27
145,Cherskiy,RU,68.75,161.3,44.87,79,69,9.55
146,Burley,US,42.5357,-113.7928,64.31,67,1,3.44
147,Norton,ZW,-17.8833,30.7,76.55,21,56,3.8
148,Oranjemund,NA,-28.55,16.4333,66.67,24,0,18.7
149,Rocky Mountain House,CA,52.3668,-114.9188,42.84,49,4,5.06
150,Husavik,IS,66.0449,-17.3389,67.91,70,46,4.09
151,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,64.06,30,10,4.81
152,Virginia Beach,US,36.8529,-75.978,75.0,78,40,0.0
153,Mar Del Plata,AR,-38.0023,-57.5575,55.09,39,72,13.0
154,Padang,ID,-0.9492,100.3543,82.45,83,59,2.42
155,Qasigiannguit,GL,68.8193,-51.1922,44.85,96,100,7.38
156,Ikom,NG,5.9667,8.7063,72.88,98,100,1.19
157,Patiya,BD,22.2931,91.9762,79.12,92,100,10.27
158,Upernavik,GL,72.7868,-56.1549,39.6,97,100,7.65
159,Ulladulla,AU,-35.35,150.4667,49.77,90,100,3.8
160,Prince Rupert,CA,54.3161,-130.3201,54.25,92,100,7.74
161,Bukama,CD,-9.2,25.85,93.97,18,0,6.24
162,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.26,76,97,12.91
163,Madimba,TZ,-10.4,40.3333,83.01,47,87,14.29
164,Puro,PH,12.4841,123.3827,82.38,77,100,24.4
165,Williams Lake,CA,52.1415,-122.1445,53.17,72,75,0.0
166,Sheregesh,RU,52.9209,87.9869,62.89,97,100,2.86
167,Tandil,AR,-37.3217,-59.1332,49.3,87,98,5.66
168,Muskegon,US,43.3,-86.1334,70.21,96,90,6.91
169,Krasnyy Luch,UA,48.1395,38.9371,79.5,31,1,10.78
170,Kargasok,RU,59.0556,80.8572,81.52,47,82,12.77
171,Deputatskiy,RU,69.3,139.9,55.44,67,49,5.21
172,Kushiro,JP,42.975,144.3747,64.36,96,94,5.44
173,Koundara,GN,12.4833,-13.3,81.32,81,95,6.51
174,Muroto,JP,33.2833,134.15,78.53,87,99,7.92
175,Saint-Philippe,RE,-21.3585,55.7679,72.99,71,16,11.5
176,Luderitz,NA,-26.6481,15.1594,73.83,21,0,7.52
177,Chokurdakh,RU,70.6333,147.9167,40.86,74,4,11.56
178,Grand Gaube,MU,-20.0064,57.6608,75.6,66,5,5.99
179,Lagoa,PT,39.05,-27.9833,69.48,91,95,14.5
180,Sayat,TM,38.7839,63.8803,103.87,7,0,11.59
181,Zhenlai,CN,45.8495,123.2973,82.6,44,68,11.39
182,Ziro,IN,27.6333,93.8333,67.35,92,34,3.2
183,Malatya,TR,38.5,38.0,89.65,17,20,12.66
184,Sayyan,YE,15.1718,44.3244,66.0,63,94,7.14
185,Iracoubo,GF,5.4802,-53.2011,79.02,88,49,7.96
186,Hailar,CN,49.2,119.7,69.22,79,43,8.23
187,Chuy,UY,-33.6971,-53.4616,52.61,78,67,6.24
188,Sibolga,ID,1.7427,98.7792,79.57,81,95,0.96
189,Omboue,GA,-1.5746,9.2618,78.51,64,87,9.44
190,Grindavik,IS,63.8424,-22.4338,57.15,100,90,14.97
191,Bilma,NE,18.6853,12.9164,101.84,23,18,7.78
192,Khatanga,RU,71.9667,102.5,58.14,83,100,8.84
193,Nanortalik,GL,60.1432,-45.2371,43.0,88,75,11.45
194,Krasnoarmeysk,RU,51.0239,45.6969,78.3,36,12,12.28
195,Puerto Escondido,MX,15.85,-97.0667,76.03,78,20,0.0
196,Fortuna,US,40.5982,-124.1573,54.93,87,23,1.99
197,Carutapera,BR,-1.195,-46.02,80.76,77,21,7.36
198,Galdar,ES,28.147,-15.6502,81.1,76,14,16.22
199,Camacha,PT,33.0833,-16.3333,74.16,64,20,17.27
200,Santa Cruz,BO,-17.8,-63.1667,69.85,73,0,11.5
201,Victoria,HK,22.2855,114.1577,89.96,81,34,3.0
202,Clyde River,CA,70.4692,-68.5914,34.03,93,90,18.41
203,Pisco,PE,-13.7,-76.2167,62.65,77,90,3.44
204,Ortigueira,BR,-24.2083,-50.9494,55.18,48,0,3.83
205,Akureyri,IS,65.6835,-18.0878,67.93,60,75,16.11
206,Atar,MR,20.5169,-13.0499,96.33,21,2,3.0
207,Kuito,AO,-12.3833,16.9333,74.71,13,88,7.94
208,Scottsboro,US,34.6723,-86.0341,74.35,100,90,4.61
209,Parry Sound,CA,45.3501,-80.033,62.91,73,5,1.34
210,Nome,US,64.5011,-165.4064,44.67,82,90,5.75
211,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.63,86,56,6.29
212,Paamiut,GL,61.994,-49.6678,41.47,93,100,5.7
213,Erzin,TR,36.9559,36.2,95.52,52,1,13.73
214,Bumba,CD,2.1833,22.4667,92.1,41,62,3.69
215,Chiang Khong,TH,20.2613,100.4046,77.32,96,79,2.37
216,Milnathort,GB,56.2269,-3.4193,74.7,77,99,4.65
217,Dodge City,US,37.7528,-100.0171,68.22,89,1,3.0
218,Batagay-Alyta,RU,67.8006,130.4114,66.02,56,86,4.23
219,Longyearbyen,SJ,78.2186,15.6401,44.58,77,52,3.51
220,Auki,SB,-8.7676,160.7034,77.63,84,6,4.72
221,Beyneu,KZ,45.3167,55.2,99.16,20,97,6.82
222,Mackay,AU,-21.15,149.2,65.68,86,2,13.18
